Timestamp,CPU_Usage,CPU_Frequency,Memory_Usage,Disk_Usage,Process_Count,Thread_Count,CPU_Temperature,GPU_Temperature
2025-12-09T15:29:27.398195,1.0,3793.0,44.3,74.9,186,2687,34.5,22.0
2025-12-09T15:29:41.518051,1.6,3793.0,44.3,74.9,186,2650,37.3125,22.0
2025-12-09T15:29:48.126377,5.8,3793.0,44.3,74.9,186,2644,39.25,22.666666666666668
2025-12-09T15:29:54.738103,1.4,3793.0,44.3,74.9,186,2628,36.125,22.333333333333332
2025-12-09T15:30:01.383340,12.7,3793.0,45.0,75.0,191,2751,52.375,23.0
2025-12-09T15:30:07.999627,3.9,3793.0,44.1,74.9,189,2652,40.6875,22.333333333333332
2025-12-09T15:30:14.612548,0.0,3793.0,44.0,74.9,188,2640,34.6875,22.0
2025-12-09T15:30:21.225903,3.5,3793.0,44.0,74.9,188,2658,35.0625,22.333333333333332
2025-12-09T15:30:27.842956,0.4,3793.0,44.0,74.9,188,2672,33.625,22.333333333333332
2025-12-09T15:30:34.451629,0.0,3793.0,43.9,74.9,187,2635,38.0625,22.0
2025-12-09T15:30:41.087884,0.7,3793.0,44.4,74.9,190,2778,37.3125,22.666666666666668
2025-12-09T15:30:47.719406,0.5,3793.0,43.9,74.9,190,2771,37.1875,22.333333333333332
2025-12-09T15:30:54.350052,0.3,3793.0,43.5,74.9,190,2774,42.375,22.0
2025-12-09T15:31:00.984540,0.6,3793.0,43.4,74.9,190,2781,38.9375,22.0
2025-12-09T15:31:07.611819,0.4,3793.0,43.4,74.9,189,2753,33.9375,22.0
2025-12-09T15:31:14.237299,0.0,3793.0,43.3,74.9,189,2734,34.75,22.0
2025-12-09T15:31:20.866554,0.0,3793.0,43.3,75.0,189,2736,33.0,22.0
2025-12-09T15:31:27.491656,0.5,3793.0,42.9,75.0,189,2739,41.875,21.666666666666668
2025-12-09T15:31:34.116589,0.0,3793.0,42.9,75.0,188,2730,33.6875,22.0
2025-12-09T15:31:40.737751,0.0,3793.0,42.9,75.0,187,2719,33.8125,22.0
2025-12-09T15:31:47.353701,0.5,3793.0,42.8,75.0,187,2676,33.125,21.833333333333332
2025-12-09T15:31:53.969042,0.9,3793.0,42.8,75.0,187,2671,33.375,21.833333333333332
2025-12-09T15:32:00.587579,0.5,3793.0,42.8,75.0,187,2663,37.4375,21.5
2025-12-09T15:32:07.200115,0.3,3793.0,42.8,75.0,187,2658,32.75,21.5
2025-12-09T15:32:13.813044,0.0,3793.0,42.6,75.0,187,2660,38.6875,21.5
